date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:49	68633/68633	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202022%2007:32:49%20GMT	https://slimhamdi.net/istanbul/demos/index-image-overlay.html	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/index-image-overlay.html	(from )
09:32:49	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Oct%202022%2007:32:50%20GMT	https://slimhamdi.net/robots.txt		(from )
09:32:53	144877/144877	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2016:17:12%20GMT	https://slimhamdi.net/istanbul/demos/css/bootstrap.min.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/bootstrap.min.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:54	12698/12698	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2016:17:11%20GMT	https://slimhamdi.net/istanbul/demos/css/jquery.animatedheadline.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/jquery.animatedheadline.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:54	31000/31000	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2016:17:13%20GMT	https://slimhamdi.net/istanbul/demos/css/font-awesome.min.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/font-awesome.min.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:54	55941/55941	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2016:17:13%20GMT	https://slimhamdi.net/istanbul/demos/css/style.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/style.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:55	2805/2805	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2017:22:10%20GMT	https://slimhamdi.net/istanbul/demos/css/skins/goldrenrod.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/skins/goldrenrod.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:55	14856/14856	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2016:17:16%20GMT	https://slimhamdi.net/istanbul/demos/js/modernizr.js	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/js/modernizr.js	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:55	2800/2800	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2017:22:10%20GMT	https://slimhamdi.net/istanbul/demos/css/skins/blue.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/skins/blue.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:55	2800/2800	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2017:22:11%20GMT	https://slimhamdi.net/istanbul/demos/css/skins/green.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/skins/green.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:56	2803/2803	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2017:22:10%20GMT	https://slimhamdi.net/istanbul/demos/css/skins/magenta.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/skins/magenta.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:56	2802/2802	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2017:22:10%20GMT	https://slimhamdi.net/istanbul/demos/css/skins/orange.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/skins/orange.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:56	2799/2799	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2017:22:10%20GMT	https://slimhamdi.net/istanbul/demos/css/skins/red.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/skins/red.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:56	2802/2802	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2017:22:09%20GMT	https://slimhamdi.net/istanbul/demos/css/skins/yellow.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/skins/yellow.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:57	2807/2807	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2017:22:10%20GMT	https://slimhamdi.net/istanbul/demos/css/skins/yellowgreen.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/skins/yellowgreen.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:57	3068/3068	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2016:17:13%20GMT	https://slimhamdi.net/istanbul/demos/css/styleswitcher.css	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/css/styleswitcher.css	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
09:32:57	610/610	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:22:23%20GMT	https://slimhamdi.net/istanbul/demos/img/styleswitcher/blue.png	C:/Mes%20Sites%20Web/mon%20dref/slimhamdi.net/istanbul/demos/img/styleswitcher/blue.png	(from https://slimhamdi.net/istanbul/demos/index-image-overlay.html)
